"Recorder","Cluster"
"S10","9"
"S10","8"
"S11","6"
"S11","6"
"S11","9"
"S11","1"
"S11","9"
"S11","9"
"S11","9"
"S12","1"
"S12","1"
"S12","6"
"S14","4"
"S14","2"
"S14","3"
"S14","3"
"S14","2"
"S14","3"
"S14","2"
"S14","3"
"S14","3"
"S14","2"
"S14","2"
"S14","3"
"S14","2"
"S14","2"
"S14","3"
"S14","2"
"S14","3"
"S14","2"
"S14","4"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","3"
"S14","4"
"S14","2"
"S14","2"
"S14","2"
"S14","4"
"S14","3"
"S14","3"
"S14","2"
"S14","2"
"S14","2"
"S14","10"
"S14","10"
"S14","10"
"S14","3"
"S14","2"
"S14","2"
"S14","2"
"S14","3"
"S14","2"
"S14","3"
"S14","3"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","2"
"S14","4"
"S14","4"
"S14","4"
"S14","4"
"S14","3"
"S14","2"
"S14","4"
"S14","2"
"S14","4"
"S14","4"
"S14","4"
"S14","4"
"S14","4"
"S14","2"
"S14","3"
"S14","2"
"S14","2"
"S14","4"
"S14","3"
"S14","10"
"S14","10"
"S14","4"
"S14","3"
"S14","4"
"S14","4"
"S14","3"
"S14","3"
"S14","3"
"S14","4"
"S14","4"
"S15","1"
"S15","6"
"S15","5"
"S15","5"
"S15","9"
"S15","4"
"S15","10"
"S15","3"
"S15","5"
"S15","5"
"S15","5"
"S15","3"
"S15","4"
"S15","4"
"S15","6"
"S15","6"
"S15","6"
"S15","6"
"S15","6"
"S15","6"
"S15","3"
"S15","4"
"S15","10"
"S15","4"
"S15","6"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S16","6"
"S16","7"
"S16","7"
"S16","5"
"S16","1"
"S16","8"
"S16","7"
"S16","7"
"S16","7"
"S16","7"
"S17","5"
"S17","5"
"S17","8"
"S17","8"
"S17","1"
"S17","1"
"S17","5"
"S17","8"
"S17","10"
"S17","6"
"S17","9"
"S18","8"
"S18","4"
"S18","10"
"S19","6"
"S19","7"
"S19","6"
"S19","6"
"S19","6"
"S19","9"
"S19","10"
"S19","9"
"S19","9"
"S19","9"
"S19","5"
"S19","8"
"S19","7"
"S19","7"
"S19","10"
"S19","10"
"S19","9"
"S19","6"
"S19","9"
"S19","9"
"S19","10"
"S19","10"
"S19","10"
"S19","9"
"S19","9"
"S19","10"
"S19","10"
"S19","10"
"S19","10"
"S19","10"
"S19","10"
"S19","10"
"S19","10"
"S19","10"
"S20","8"
"S20","8"
"S20","5"
